Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
07/02/2000,16.870,0.210,5.000,0.000,0.100,33.580,5.850
07/08/2000,16.800,0.210,3.000,0.000,0.000,33.560,5.760
04/18/2015,19.260,0.210,1.000,0.000,0.000,33.567,5.510
11/12/2015,17.010,0.210,4.600,0.010,0.000,33.396,6.070
04/08/2018,21.710,0.210,1.500,0.000,0.000,34.014,5.230
04/16/2018,23.690,0.210,1.000,0.000,0.000,34.239,5.010
04/19/2018,10.820,0.210,16.000,0.000,1.900,33.581,3.610
01/14/2008,18.820,0.220,1.000,0.000,0.000,33.686,5.650
01/19/2008,16.920,0.220,0.500,0.000,0.000,33.608,6.490
04/06/2008,15.780,0.220,0.000,0.000,0.000,33.610,6.520
04/08/2008,15.660,0.220,0.000,0.000,0.000,33.590,6.500
08/16/2008,18.560,0.220,1.000,0.000,0.000,33.620,6.010
08/17/2008,18.070,0.220,2.000,0.000,0.000,33.590,6.000
10/17/2008,19.190,0.220,2.000,0.000,0.000,33.580,5.680
10/30/2008,19.010,0.220,0.000,0.000,0.000,33.570,5.950
01/11/2009,17.710,0.220,1.000,0.000,0.000,33.620,5.910
01/17/2009,18.220,0.220,2.000,0.000,0.100,33.620,6.060
07/19/2009,16.600,0.220,2.000,0.000,0.000,33.500,6.050
07/26/2009,16.300,0.220,2.000,0.000,0.000,33.120,5.880
02/02/2015,20.370,0.220,0.000,0.000,0.000,33.685,5.500
04/08/2015,20.830,0.220,1.000,0.010,0.000,33.660,5.300
04/09/2015,20.830,0.220,1.000,0.010,0.000,33.661,5.300
04/10/2015,20.830,0.220,1.000,0.000,0.000,33.668,5.330
04/12/2015,20.830,0.220,1.000,0.000,0.000,33.668,5.330
01/11/2016,19.380,0.220,2.000,0.000,0.000,33.387,5.390
04/08/2018,21.030,0.220,2.000,0.000,0.000,34.038,5.340
04/12/2018,23.270,0.220,1.000,0.000,0.000,34.221,5.020
04/15/2018,23.310,0.220,1.000,0.000,0.000,34.223,5.020
04/16/2018,23.650,0.220,1.000,0.000,0.000,34.237,5.020
06/11/2018,23.320,0.220,0.500,0.010,0.100,34.371,4.900
10/21/2012,17.200,0.230,1.100,0.000,0.100,33.648,5.640
01/16/2013,18.490,0.230,0.000,0.000,0.000,33.590,5.360
01/17/2013,18.490,0.230,0.100,0.000,0.000,33.589,5.390
01/18/2013,18.480,0.230,1.000,0.000,0.000,33.580,5.610
01/19/2013,18.480,0.230,1.000,0.000,0.000,33.580,5.610
01/31/2014,21.190,0.230,0.000,0.000,0.000,33.780,5.500
04/13/2014,21.150,0.230,0.000,0.000,0.000,33.780,5.520
04/15/2014,21.150,0.230,0.000,0.000,0.000,33.780,5.520
04/16/2014,21.190,0.230,0.000,0.000,0.000,33.780,5.500
07/20/2014,17.730,0.230,2.500,0.010,0.000,33.572,6.030
04/17/2015,17.470,0.230,1.100,0.000,0.000,33.515,5.820
